PLAYER,RND,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,KMAX,K,D,A,FK,FD,
glovee,305,165.7,0.84,0.74,108.4,0.57,0.33,0.07,0.04,0.29,0.07,18,173,205,100,20,12,
Mited,393,165.5,0.81,0.69,108.6,0.58,0.35,0.06,0.07,0.24,0.15,25,227,281,136,22,27,
dimaxx,413,165.4,0.92,0.7,111.7,0.59,0.33,0.05,0.07,0.2,0.19,22,242,264,135,19,28,
Turko,331,165.3,0.87,0.73,109.2,0.59,0.24,0.03,0.06,0.28,0.14,30,196,226,79,10,21,
pdr,386,165.1,0.77,0.63,109.7,0.57,0.26,0.08,0.1,0.3,0.19,19,221,287,101,29,40,
luckeRRR,254,165.1,0.77,0.66,105.1,0.56,0.3,0.08,0.09,0.27,0.07,19,143,186,76,21,23,
vilczek,296,165.1,0.77,0.67,111.1,0.54,0.38,0.08,0.09,0.26,0.09,19,159,207,112,23,28,
azez,265,165,0.69,0.65,113,0.56,0.3,0.06,0.14,0.22,0.26,23,148,215,79,16,37,
LeeLee,250,164.8,0.7,0.68,105.6,0.54,0.36,0.06,0.08,0.25,0.16,18,135,192,91,14,21,
Bia,297,164.7,0.81,0.72,108.1,0.56,0.31,0.06,0.07,0.22,0.2,19,166,205,91,18,22,
micr0,205,164.6,0.84,0.7,103.4,0.57,0.34,0.04,0.07,0.22,0.11,20,117,140,70,9,14,
Klaus,640,164.5,0.89,0.7,106.5,0.59,0.31,0.04,0.06,0.2,0.11,20,377,400,199,26,40,
Ebeeee,526,164.4,0.82,0.69,106.1,0.57,0.29,0.06,0.09,0.22,0.3,23,298,364,155,32,45,
JaoTae,382,164.1,0.76,0.68,112.4,0.56,0.29,0.05,0.06,0.25,0.08,20,214,282,110,20,24,
Precision,456,164.1,0.87,0.73,107.8,0.58,0.41,0.04,0.07,0.26,0.13,21,263,304,187,20,33,
mummAy,451,163.8,0.83,0.68,107.6,0.56,0.3,0.05,0.08,0.25,0.07,21,253,303,134,24,34,
Flonson,335,163.6,0.71,0.6,108.3,0.57,0.21,0.05,0.11,0.32,0.07,22,191,269,71,16,36,
Nyang,211,163.3,0.86,0.73,108.7,0.56,0.27,0.07,0.09,0.28,0.14,24,119,138,56,14,18,
habibti,237,163.3,0.67,0.6,110.1,0.56,0.24,0.11,0.14,0.23,,20,133,200,58,25,34,
fz,230,163.3,0.73,0.58,113.2,0.53,0.17,0.07,0.09,0.21,0.06,20,123,169,39,15,21,
MUSAB,421,163.2,0.76,0.65,107.9,0.57,0.23,0.11,0.09,0.26,0.09,20,238,312,98,46,39,
Carlito,382,163.2,0.78,0.69,109.7,0.56,0.35,0.03,0.07,0.25,0.28,20,214,275,133,12,28,
Scargod,211,163,0.68,0.6,108.1,0.57,0.23,0.09,0.15,0.3,0.13,19,121,179,48,18,32,
skye,591,162.9,0.75,0.68,103,0.56,0.35,0.07,0.08,0.2,0.23,19,329,441,207,39,48,
Gigi,339,162.8,0.81,0.69,110.8,0.57,0.28,0.04,0.02,0.18,0.13,24,194,239,96,12,8,
SungJin,352,162.8,0.8,0.68,104.4,0.57,0.35,0.05,0.04,0.25,0.12,21,201,251,124,17,14,
hype,293,162.6,0.77,0.66,108.7,0.59,0.25,0.08,0.11,0.23,0.13,23,173,224,74,24,32,
Akashi,685,162.5,0.76,0.7,111,0.53,0.34,0.04,0.07,0.2,0.18,23,362,477,232,30,46,
Br0die,285,162.4,0.81,0.7,108.9,0.54,0.32,0.06,0.08,0.34,0.06,18,155,192,90,16,24,
storm,207,162.1,0.72,0.62,109.2,0.54,0.29,0.08,0.1,0.19,0.12,26,111,154,59,16,20,
axeLuvYa,1034,161.9,0.9,0.74,103.6,0.57,0.36,0.04,0.05,0.26,0.18,23,593,660,368,43,54,
pAura,254,161.8,0.73,0.7,107.2,0.52,0.24,0.07,0.09,0.27,0.1,17,133,183,60,18,24,
flainzz,265,161.8,0.83,0.66,108.1,0.55,0.28,0.05,0.05,0.28,0.13,19,147,178,73,12,13,
